נתוני שערים - פסגות קרנות נאמנות בע"מ - פסג.תא בנקים,,,
נכון ל- 11/11/2020
תאריך,שער נעילה מתואם(באגורות),שער נעילה (באגורות), מחזור(אלפי ₪)
11/11/2020,1834.0000,1834.0000,6576.63
10/11/2020,1816.0000,1816.0000,9268.75
09/11/2020,1785.0000,1785.0000,18620.69
08/11/2020,1703.0000,1703.0000,4374.96
05/11/2020,1714.0000,1714.0000,4469.78
04/11/2020,1693.0000,1693.0000,6466.63
03/11/2020,1679.0000,1679.0000,4145.84
02/11/2020,1659.0000,1659.0000,4422.83
01/11/2020,1672.0000,1672.0000,3201.66
29/10/2020,1650.0000,1650.0000,4217.41
28/10/2020,1615.0000,1615.0000,5836.88
27/10/2020,1674.0000,1674.0000,4466.32
26/10/2020,1705.0000,1705.0000,6881.53
25/10/2020,1728.0000,1728.0000,4836.67
22/10/2020,1676.0000,1676.0000,4841.30
21/10/2020,1641.0000,1641.0000,5889.39
20/10/2020,1638.0000,1638.0000,6830.64
19/10/2020,1656.0000,1656.0000,7818.17
18/10/2020,1681.0000,1681.0000,4404.12
15/10/2020,1669.0000,1669.0000,6397.29
14/10/2020,1682.0000,1682.0000,6104.01
13/10/2020,1649.0000,1649.0000,7636.20
12/10/2020,1667.0000,1667.0000,6340.36
11/10/2020,1654.0000,1654.0000,5295.30
08/10/2020,1657.0000,1657.0000,4995.68
07/10/2020,1645.0000,1645.0000,7632.43
06/10/2020,1640.0000,1640.0000,5566.79
05/10/2020,1626.0000,1626.0000,4376.70
04/10/2020,1592.0000,1592.0000,4614.61
01/10/2020,1561.0000,1561.0000,8069.66
30/09/2020,1536.0000,1536.0000,5445.38
29/09/2020,1523.0000,1523.0000,10037.40
24/09/2020,1502.0000,1502.0000,12077.71
23/09/2020,1520.0000,1520.0000,7897.07
22/09/2020,1562.0000,1562.0000,4892.25
21/09/2020,1582.0000,1582.0000,6436.40
17/09/2020,1610.0000,1610.0000,3677.95
16/09/2020,1608.0000,1608.0000,1551.01
15/09/2020,1639.0000,1639.0000,5121.20
14/09/2020,1641.0000,1641.0000,4441.38
13/09/2020,1612.0000,1612.0000,6728.68
10/09/2020,1599.0000,1599.0000,5051.31
09/09/2020,1628.0000,1628.0000,3485.90
08/09/2020,1640.0000,1640.0000,4390.17
07/09/2020,1661.0000,1661.0000,3687.14
06/09/2020,1670.0000,1670.0000,3633.50
03/09/2020,1663.0000,1663.0000,6179.73
02/09/2020,1723.0000,1723.0000,4839.07
01/09/2020,1729.0000,1729.0000,4219.86
31/08/2020,1730.0000,1730.0000,11721.80
30/08/2020,1775.0000,1775.0000,3656.07
27/08/2020,1765.0000,1765.0000,3610.44
26/08/2020,1749.0000,1749.0000,1923.19
25/08/2020,1722.0000,1722.0000,4549.90
24/08/2020,1727.0000,1727.0000,3272.90
23/08/2020,1740.0000,1740.0000,2357.73
20/08/2020,1699.0000,1699.0000,2934.60
19/08/2020,1737.0000,1737.0000,2004.02
18/08/2020,1755.0000,1755.0000,3396.29
17/08/2020,1737.0000,1737.0000,2852.61
16/08/2020,1739.0000,1739.0000,15243.71
13/08/2020,1712.0000,1712.0000,2773.69
12/08/2020,1740.0000,1740.0000,2611.35
11/08/2020,1705.0000,1705.0000,3844.06
10/08/2020,1682.0000,1682.0000,5056.62
09/08/2020,1688.0000,1688.0000,3012.52
06/08/2020,1666.0000,1666.0000,4147.25
05/08/2020,1670.0000,1670.0000,3418.98
04/08/2020,1680.0000,1680.0000,5723.69
03/08/2020,1707.0000,1707.0000,4278.75
02/08/2020,1713.0000,1713.0000,7818.48
29/07/2020,1720.0000,1720.0000,3856.44
28/07/2020,1709.0000,1709.0000,5694.87
27/07/2020,1708.0000,1708.0000,4695.33
26/07/2020,1717.0000,1717.0000,5485.93
23/07/2020,1719.0000,1719.0000,2969.90
22/07/2020,1726.0000,1726.0000,2264.45
21/07/2020,1736.0000,1736.0000,5418.72
20/07/2020,1737.0000,1737.0000,8133.25
19/07/2020,1746.0000,1746.0000,2315.87
16/07/2020,1753.0000,1753.0000,6775.81
15/07/2020,1776.0000,1776.0000,7249.94
14/07/2020,1756.0000,1756.0000,5344.61
13/07/2020,1788.0000,1788.0000,5815.58
12/07/2020,1815.0000,1815.0000,6173.29
09/07/2020,1785.0000,1785.0000,4792.25
08/07/2020,1816.0000,1816.0000,7781.91
07/07/2020,1832.0000,1832.0000,8126.81
06/07/2020,1842.0000,1842.0000,8392.34
05/07/2020,1777.0000,1777.0000,5347.14
02/07/2020,1838.0000,1838.0000,38436.54
01/07/2020,1800.0000,1800.0000,8243.36
30/06/2020,1714.0000,1714.0000,5391.36
29/06/2020,1738.0000,1738.0000,5210.25
28/06/2020,1743.0000,1743.0000,4805.37
25/06/2020,1771.0000,1771.0000,7660.54
24/06/2020,1746.0000,1746.0000,9636.72
23/06/2020,1748.0000,1748.0000,7241.94
22/06/2020,1765.0000,1765.0000,9204.94
21/06/2020,1802.0000,1802.0000,6683.43
18/06/2020,1830.0000,1830.0000,5501.09
17/06/2020,1868.0000,1868.0000,4967.00
16/06/2020,1906.0000,1906.0000,6555.08
15/06/2020,1884.0000,1884.0000,12264.68
14/06/2020,1897.0000,1897.0000,4451.63
11/06/2020,1912.0000,1912.0000,7374.26
10/06/2020,1947.0000,1947.0000,6894.78
09/06/2020,1924.0000,1924.0000,6818.42
08/06/2020,1901.0000,1901.0000,10619.40
04/06/2020,1835.0000,1835.0000,6106.34
03/06/2020,1828.0000,1828.0000,3823.74
02/06/2020,1804.0000,1804.0000,5092.25
01/06/2020,1793.0000,1793.0000,8358.43
31/05/2020,1779.0000,1779.0000,7205.02
27/05/2020,1823.0000,1823.0000,9176.63
26/05/2020,1824.0000,1824.0000,4937.61
25/05/2020,1832.0000,1832.0000,5913.79
24/05/2020,1832.0000,1832.0000,2983.26
21/05/2020,1806.0000,1806.0000,10508.81
20/05/2020,1845.0000,1845.0000,6754.44
19/05/2020,1835.0000,1835.0000,8836.21
18/05/2020,1801.0000,1801.0000,6982.62
17/05/2020,1754.0000,1754.0000,7560.47
14/05/2020,1715.0000,1715.0000,11471.54
13/05/2020,1801.0000,1801.0000,5839.08
12/05/2020,1863.0000,1863.0000,9700.31
11/05/2020,1892.0000,1892.0000,7787.71
10/05/2020,1921.0000,1921.0000,8491.02
07/05/2020,1896.0000,1896.0000,5541.99
06/05/2020,1900.0000,1900.0000,6336.91
05/05/2020,1882.0000,1882.0000,7102.32
04/05/2020,1846.0000,1846.0000,8705.32
03/05/2020,1883.0000,1883.0000,5159.55
30/04/2020,1910.0000,1910.0000,15254.92
27/04/2020,1910.0000,1910.0000,11519.42
26/04/2020,1916.0000,1916.0000,5700.76
23/04/2020,1850.0000,1850.0000,7753.86
22/04/2020,1804.0000,1804.0000,5674.65
21/04/2020,1787.0000,1787.0000,8071.24
20/04/2020,1838.0000,1838.0000,13854.34
19/04/2020,1874.0000,1874.0000,10253.00
16/04/2020,1728.0000,1728.0000,7104.46
13/04/2020,1790.0000,1790.0000,6160.52
12/04/2020,1812.0000,1812.0000,12421.24
07/04/2020,1769.0000,1769.0000,13451.97
06/04/2020,1720.0000,1720.0000,3923.49
05/04/2020,1702.0000,1702.0000,6672.57
02/04/2020,1758.0000,1758.0000,7183.35
01/04/2020,1759.0000,1759.0000,8575.61
31/03/2020,1834.0000,1834.0000,9609.62
30/03/2020,1787.0000,1787.0000,8552.13
29/03/2020,1771.0000,1771.0000,4556.24
26/03/2020,1777.0000,1777.0000,10659.71
25/03/2020,1713.0000,1713.0000,10850.59
24/03/2020,1711.0000,1711.0000,10457.29
23/03/2020,1551.0000,1551.0000,13495.57
22/03/2020,1570.0000,1570.0000,9469.51
19/03/2020,1706.0000,1706.0000,10654.02
18/03/2020,1584.0000,1584.0000,7921.42
17/03/2020,1661.0000,1661.0000,17366.72
16/03/2020,1691.0000,1691.0000,12058.65
15/03/2020,1808.0000,1808.0000,9765.91
12/03/2020,1806.0000,1806.0000,21976.69
11/03/2020,1828.0000,1828.0000,21122.90
09/03/2020,1943.0000,1943.0000,28641.05
08/03/2020,2050.0000,2050.0000,24650.82
05/03/2020,2135.0000,2135.0000,15621.67
04/03/2020,2189.0000,2189.0000,8643.44
03/03/2020,2292.0000,2292.0000,11575.55
01/03/2020,2222.0000,2222.0000,19847.57
27/02/2020,2278.0000,2278.0000,11234.42
26/02/2020,2347.0000,2347.0000,8004.73
25/02/2020,2321.0000,2321.0000,6324.31
24/02/2020,2288.0000,2288.0000,10605.78
23/02/2020,2335.0000,2335.0000,5586.36
20/02/2020,2384.0000,2384.0000,3252.16
19/02/2020,2411.0000,2411.0000,2455.58
18/02/2020,2383.0000,2383.0000,2941.07
17/02/2020,2410.0000,2410.0000,5966.82
16/02/2020,2403.0000,2403.0000,4618.16
13/02/2020,2383.0000,2383.0000,5392.73
12/02/2020,2389.0000,2389.0000,3030.04
11/02/2020,2410.0000,2410.0000,6696.09
10/02/2020,2378.0000,2378.0000,4906.88
09/02/2020,2399.0000,2399.0000,2501.69
06/02/2020,2437.0000,2437.0000,2436.31
05/02/2020,2416.0000,2416.0000,2894.90
04/02/2020,2410.0000,2410.0000,7575.68
03/02/2020,2403.0000,2403.0000,14818.39
02/02/2020,2424.0000,2424.0000,10509.43
30/01/2020,2454.0000,2454.0000,5025.69
29/01/2020,2434.0000,2434.0000,7686.49
28/01/2020,2428.0000,2428.0000,5243.33
27/01/2020,2425.0000,2425.0000,10820.75
26/01/2020,2447.0000,2447.0000,6979.18
23/01/2020,2455.0000,2455.0000,9582.98
22/01/2020,2440.0000,2440.0000,2897.63
21/01/2020,2424.0000,2424.0000,14486.59
20/01/2020,2425.0000,2425.0000,3424.98
19/01/2020,2428.0000,2428.0000,2905.81
16/01/2020,2416.0000,2416.0000,12325.27
15/01/2020,2409.0000,2409.0000,2143.57
14/01/2020,2424.0000,2424.0000,11036.04
13/01/2020,2427.0000,2427.0000,4643.48
12/01/2020,2432.0000,2432.0000,3567.76
09/01/2020,2433.0000,2433.0000,14212.56
08/01/2020,2429.0000,2429.0000,11349.73
07/01/2020,2429.0000,2429.0000,3878.71
06/01/2020,2452.0000,2452.0000,4853.09
05/01/2020,2463.0000,2463.0000,3669.36
02/01/2020,2475.0000,2475.0000,5814.53
01/01/2020,2443.0000,2443.0000,4658.14
31/12/2019,2436.0000,2436.0000,2398.06
30/12/2019,2428.0000,2428.0000,8134.54
29/12/2019,2428.0000,2428.0000,2765.61
26/12/2019,2424.0000,2424.0000,3118.03
25/12/2019,2424.0000,2424.0000,2763.50
24/12/2019,2415.0000,2415.0000,2885.27
23/12/2019,2367.0000,2367.0000,4162.28
22/12/2019,2394.0000,2394.0000,1792.80
19/12/2019,2400.0000,2400.0000,2227.91
18/12/2019,2403.0000,2403.0000,3116.02
17/12/2019,2412.0000,2412.0000,3213.43
16/12/2019,2393.0000,2393.0000,2287.61
15/12/2019,2406.0000,2406.0000,1940.95
12/12/2019,2397.0000,2397.0000,3450.13
11/12/2019,2404.0000,2404.0000,4583.47
10/12/2019,2402.0000,2402.0000,4005.39
09/12/2019,2394.0000,2394.0000,4212.00
08/12/2019,2401.0000,2401.0000,1318.89
05/12/2019,2368.0000,2368.0000,3259.25
04/12/2019,2367.0000,2367.0000,6128.89
03/12/2019,2363.0000,2363.0000,7834.51
02/12/2019,2371.0000,2371.0000,5166.85
01/12/2019,2404.0000,2404.0000,5300.87
28/11/2019,2424.0000,2424.0000,3854.06
27/11/2019,2364.0000,2364.0000,1579.89
26/11/2019,2349.0000,2349.0000,2765.41
25/11/2019,2340.0000,2340.0000,2978.49
24/11/2019,2365.0000,2365.0000,3007.84
21/11/2019,2368.0000,2368.0000,1748.80
20/11/2019,2386.0000,2386.0000,3332.06
19/11/2019,2402.0000,2402.0000,2798.50
18/11/2019,2413.0000,2413.0000,11549.04
17/11/2019,2429.0000,2429.0000,1574.90
14/11/2019,2415.0000,2415.0000,3685.24
13/11/2019,2402.0000,2402.0000,2365.06
12/11/2019,2412.0000,2412.0000,1735.32
